BindingDB MonomerID,Predicted pKi
4330,4.316835815242013
50032631,6.882575953800468
50032628,6.497463407252912
50221522,6.9995129582372675
50221519,6.9865458803445
50221515,7.3853304364552725
50221531,7.386320123986575
50157333,6.262178366750606
50157358,6.166506872704987
50157390,6.110433329561252
50157324,6.203811085908223
50157939,6.247105151535315
50157940,6.2533285026844085
50653548,6.5632624592184605
50653552,6.530889679126575
50653559,6.721719743158018
50653560,6.644866263373719
50653563,7.804279027313707
50653567,6.920706260026947
50653548,6.5632624592184605
50653563,7.804279027313707
50337383,7.118618569773807
50237139,7.672928500424948
50242520,7.162446109437099
50242521,7.258105592770027
50242522,7.240989803803278
50242523,7.173656717933683
50242525,7.221847350526581
50242526,7.2100775676265085
50242527,7.262579278917607
50242534,6.732339552260973
50242535,6.732339552260973
50242536,6.533150717454854
50242541,6.966642641063379
50242542,7.076548301429744
50242543,7.088868792852181
50242544,6.94364600573985
50242545,7.19704763885925
50242524,7.1256914405170475
50242550,7.254019732570536
50242540,6.719081792121387
50242512,7.118755112995263
50450873,7.097051965967699
50450884,7.679258218132545
50450885,7.640564532884494
50498975,6.612203866015509
50498976,6.612203866015509
50498977,6.430277119018127
50498989,6.799046251877044
50498990,6.816096522932843
50498992,6.799046251877044
50498986,6.964489102671942
50498974,6.882176410082304
50498991,6.364887436713631
50499001,6.5827668397896
50499002,6.6052836754074855
50594720,7.820775451671755
50499002,6.6052836754074855
50498976,6.612203866015509
50613685,8.26008183268673
50499002,6.6052836754074855
50498976,6.612203866015509
50499002,6.6052836754074855
50498976,6.612203866015509
50499002,6.6052836754074855
50498976,6.612203866015509
50499002,6.6052836754074855
50498976,6.612203866015509
50613685,8.26008183268673
4779,8.352899365699368
4779,8.352899365699368
